a bad egg,sözünde durmayan
abluent,temizleyici
ablush,kızarmış yüzlü
ablution,abdest
ably,beceriyle
abnegate,inkâr etmek
abnegation,inkâr
abnormal egg,kusurlu yumurta
abnormal erosion,olağandışı aşınma
abnormal,anormal
abnormality,anormallik
abnormally,anormal bir şekilde
abnormity,anormallik
aboard,(gemi/otobüs/tren/uçak/vb.) içinde
abode,ev
abolish,yürürlükten kaldırmak
abolition of restrictions,kısıtlamaların kaldırılması
abolition of the caliphate,halifeliğin kaldırılması
abolition,yürürlükten kaldırma
abolitionist,köleliğin kaldırılması yanlısı
abomasum,şirden
abominable snowman,yeti
abominable,iğrenç
abominably,çok fena bir şekilde
abominate,tiksinmek
abomination,nefret
aboriginal,yerli
aborigine,bir yerin yerlisi
abort,çocuk düşürmek, baş tutmamak, dayandırmak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abortifacient,düşüğe yol açan
abortion,çocuk düşürme
abortionist,çocuk düşürten kimse
abortive trial,sonuçsuz dava
abortive,sonuçsuz
aboulia,irade yitimi
abound,çok sayıda olmak
about face!,Geriye dön!
about time,(it is ~) vakittir
about to come,gelmek üzere
about,hakkında, şurada burada, üstünde, yanında, devresinde, yakınında, buralarda, şuralarda, sıralarda, sularında, aşağı yukarı, yaklaşık, takriben, tahminen, muhiten, aksi yöne, geriye, hemen hemen, neredeyse, -e ne dersin?, -den ne haber?,,,,,,,,,,,,,,,,,,,,
aboutface,geriye dönüş
above all,her şeyden çok
above board,açık ve dürüst
above ground,yeryüzünde
above par,başa baştan yukarı
above reproach,mükemmel
above sbs head,anlama kapasitesinin üstünde
above water,sıkıntıdan uzak
above,yukarıda
above-mentioned,yukarıda adı geçen
above-party politics,partiler üstü politika
aboveboard,doğru
abovo,(Latince) başlangıçtan beri
abracadabra,abrakadabra
abrachia,kolsuzluk
abradant,aşındırıcı
abrade,aşınmak
abrasion proof,aşınmaya dayanıklı
abrasion,aşınma
abrasive paper,zımpara kâğıdı
abrasive power,aşındırıcı güç
abrasive,aşındıran
abreast of the times,asra beraber
abreast,bir hizada
abridge,kısaltmak
abridged,kısaltılmış
abridgement,kısaltma
abridgment,kısaltma
abroad,taşra
abrogate,yürürlükten kaldırmak
abrogation,yürürlükten kaldırma
abrupt,dik
abruptly,ansızın
abruptness,acele
abscess,çıban
abscisic acid,absisik asit
abscisic,absisik
abscisin,absisin
abscissa,apsis
abscissin,absisin
abscission layer,kopma dokusu
abscission,kesme
abscond,kaçmak
absconder,kaçak
absconding swarm,kovanı terk eden oğul arısı
absence,uzakta olma
absent oneself,gelmemek
absent without leave,izinsiz
absent,yok
absent-minded,dalgın
absent-mindedness,dalgınlık
absentee,bulunması gereken yere gelmeyen kimse
absenteeism,mazeretsiz gelmeme
absentminded,dalgın
absentmindedness,dalgınlık
absinth,pelin otu
absolute alcohol,mutlak alkol
absolute ceiling,azami yükseliş haddi
absolute deviation,mutlak sapma
absolute forest land,yalnız ağaç dikimine uygun arazi
absolute humidity,mutlak nem
absolute majority,salt çoğunluk
absolute monarchy,kayıtsız şartsız monarşi
absolute nonsense,tam bir saçmalık
absolute scale,mutlak ölçü
absolute temperature,mutlak sıcaklık
absolute unit,mutlak birim
absolute value,mutlak değer
absolute zero,mutlak sıfır
absolute,tam
absolutely,tümüyle
absoluteness,mutlakiyet
absolution,günahın bağışlanması
absolutism,mutlakıyet
absolutist,mutlakiyeçi
absolve,temize çıkarmak
absonant,zıt
absorb,emmek
absorbable,emilebilir
absorbency,emicilik
absorbent cotton,hidrofil pamuk
absorbent,emici
absorber,emici
absorbing loss,emme kaybı
absorbing,çok ilginç
absorption coefficient,emme katsayısı
absorption factor,soğurum katsayısı
absorption terrace,emdirme sekisi
absorption,emme
absorptive outlet,sızdırmalı boşaltma
absorptive power,emici güç
absorptive,emici
absorptivity,emicilik
abstain from,-den kaçınmak
abstain,uzak durmak
abstemious,çok yemek ve içmekten sakınan
abstemiously,perhiz yaparak
abstention from voting,oy vermeme
abstention,çekinme
absterge,silmek
abstinence,uzak durma
abstinent,perhizkâr
abstract mathematics,soyut matematik
abstract noun,soyut ad
abstract number,soyut sayı
abstract,soyut
abstracted,dalgın
abstractedness,zihin meşguliyeti
abstraction,soyutlama
abstractly,soyut olarak
abstruse,anlaşılması güç
abstruseness,muğlaklık
absurd,maskaralık
absurdity,anlamsızlık
absurdly,saçma bir şekilde
absurdness,anlamsızlık
abundance,bolluk
abundant,bol
abundantly,bol bol
abuse,küfür etmek, suiistimal, fesat, yolsuzluk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abusive,sövgü dolu
abut,dayanmak
abutment,köprünün karada olan ayağı
abutting,bitişik
abysm,uçurum
abysmal,berbat
abyss,dibi olmayan çukur
abyssal fauna,abisal fauna
abyssal plain,abisal ova
abyssal rocks,abisal kayaçlar
abyssal zone,abisal bölge
abyssal,abisal
Abyssinia,Habeşistan
Abyssinian,Habeş
acacia,akasya
academic degree,akademik derece
academic staff,akademik personel
academic year,öğretim yılı
academic,akademik
academician,akademisyen
Academy of Fine Arts,Güzel Sanatlar Akademisi
academy,bilim adamları topluluğu
acalcerosis,kalsiyum eksikliği
acalycine,çeneksiz
acanthite,akantit
acanthus,kenger otu
acappella,çalgısız söylenen şarkı
acaricide,böcek öldürücü ilaç
acarid,kene
acaroid,akaroit
accede,kabul etmek
accelerando,accelerando
accelerate,hızlandırmak
accelerated particle,hızlandırılmış tanecik
accelerated,hızlı
accelerating,hızlandırıcı
acceleration of free fall,serbest düşüş ivmesi
acceleration of gravity,yerçekimi ivmesi
acceleration,hızlandırma
accelerative,hızlanabilen
accelerator pedal,gaz pedalı
accelerator,gaz pedalı
acceleratory,hızlandırıcı
accelerometer,akselerometre
accent,aksan
accentuate,önem vermek
accentuation,vurgulama
accept the charges,suçu kabul etmek
accept,almak
acceptability,geçerlilik
acceptable,kabul edilebilir
acceptance credit,kabul kredisi
acceptance,kabul etme
acceptation,kabul
acceptor,akseptör
access arm,erişim kolu
access gallery,giriş galerisi
access hatchway,ambar ağzı
access ramp,giriş rampası
access shaft,giriş bacası
access time,erişim süresi
access,giriş
accessibility,erişilebilirlik
accessible,yanına varılabilir
accession record,demirbaş kaydı
accession to power,iktidara gelme
accession treaty,katılma antlaşması
accession,ulaşma
accessories,aksesuar
accessory after the fact,suçluya yataklık eden kimse
accessory before the fact,kışkırtıcı
accessory box,malzeme kutusu
accessory bud,ek gonca
accessory mineral,kayaç mineral
accessory verb,yardımcı eylem
accessory,aksesuar
accidence,sarf usul ve prensipleri
accident insurance,kaza sigortası
accident protection,kazalardan korunma
accident,kaza
accident-prone,başına sık sık kaza gelen
accidental error,arızi hata
accidental,rastlantısal
accidentally,kazara
acclaim,alkışlamak
acclamation,alkış
acclimate,iklime alıştırmak
acclimation,iklime alıştırma
acclimatization,yeni bir iklime/ortama alışma
acclimatize,yeni bir iklime/ortama alışmak veya alıştırmak
acclivity,yokuş
accolade,övgü
accommodate,yer sağlamak
accommodating,yardımcı
accommodation allowance,mesken tazminatı
accommodation bill,hatır senedi
accommodation capacity,konaklama kapasitesi
accommodation draft,hatır senedi
accommodation ladder,borda kamara iskelesi
accommodation train,birçok istasyonda duran yolcu treni
accommodation,yatacak yer
accommodations,kalacak yer
accompanied by,refakatinde
accompaniment,eşlik eden
accompanist,akompanist
accompany,eşlik etmek
accomplice,suç ortağı
accomplish,başarmak
accomplished,becerikli
accomplishment,başarıyla sonuçlandırma
accord with,ahenkli olmak
accord,uygunluk
accordance,uyum
according as,göre
according to Hoyle,kurallara uygun
according to ones lights,özünün anlayışına göre
according to,(edat) -e göre
according,uygun olarak
accordingly,o doğrulukta
accordion,akordeon
accost,yanına gidip konuşmak
accouchement,lohusalık
account balance,hesap bakiyesi
account book,hesap defteri
account deficit,hesap açığı
account for,açıklamak
account holder,hesap sahibi
account statement,hesap özeti
account,rapor, banka hesabı, hesap görme, hesaplaşma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accountability,sorumluluk
accountable,mesul
accountancy,muhasebecilik
accountant,sayman
accountants office,muhasebe bürosu
accounting department,muhasebe bölümü
accounting,muhasebe
accounts payable,borçlu hesaplar
accounts receivable,alacaklı hesaplar
accouter,askerî giyecek vermek
accouterments,donatı
Accra,Akra
accredit,elçi göndermek
accredited journalist,akrediteli gazeteci
accredited,resmen tanınmış
accrescent,büyüyen
accrete,birleşmek
accretion,ilave
accrual,büyüme
accrue,ziyadeleşmek
accrued interest,gerçekleşen faiz
accrued liabilities,tahakkuk etmiş giderler
acculturation,bir kültürün başka bir kültürden aldığı tesir
accumulate,toplamak
accumulation of capital,sermaye birikimi
accumulation,biriktirme
accumulative,toplayıcı
accumulator,akü
accuracy,dikkatlilik
accurate,kesin
accurately,doğru olarak
accursed,lanetlenmiş
accusation,suçlama
accusative,tesirlik hâl
accuse,suçlamak
accused,sanık
accusing,suçlayıcı
accustom oneself,alışmak
accustom,alıştırmak
accustomed,(~ to) alışkın
ace,birli
acedia,halsizlik
acentric,merkezsiz
acephalous,başsız
acerb,acı
acerbate,acılaştırmak
acerbity,ekşilik
acetabulum,(anat.) hokka çukuru
acetal,asetal
acetaldehyde,asetalaldehit
acetamide,asetamit
acetanilide,teskin edici ve ateş düşürücü bir ilaç
acetate,bir nevi sentetik kumaş
acetic acid,asetik asit
acetic anhydride,asetik anhidrit
acetic ester,asetik ester
acetic fermentation,asetik mayalanma
acetic,sirke gibi
acetification,ekşitme
acetify,ekşitmek
acetin,asetin
acetone,aseton
acetous,asetik
acetyl bromide,asetil bromür
acetyl cellulose,asetil selüloz
acetyl chloride,asetil klorür
acetyl coenzyme,asetil koenzim
acetyl,asetil
acetylate,asetillemek
acetylation,asetilleme
acetylene,asetilen
acetylsalicylic acid,asetilsalisilik asit
acetylsalicylic,asetilsalisilik
achaean,Eski Yunanistana ait
achaian,Eski Yunanistana ait
ache,ağrımak
achene,(bot.) aken
achievable,yapılabilir
achieve,başarmak
achievement test,başarı testi
achievement,başarma
achilles tendon,(biyol.) ökçe veteri
achondroplasia,(tıb.) cücelik
achromatic lens,akromatik mercek
achromatic,renksiz
achromatism,akromatizm
achromatopsia,(tıb.) renk körlüğü
acicular,iğne ve diken şeklinde olan
acid bath,asit banyosu
acid rain,asit yağmuru
acid salt,asit tuzu
acid soil,asit toprak
acid solution,asit solüsyonu
acid test,bir şeyin değerinin testi
acid value,asit değeri
acid,asit
acid-base equilibrium,asit-baz dengesi
acid-fast,aside dayanıklı
acid-free,asitsiz
acid-proof,aside dayanıklı
acid-resisting,aside dayanıklı
acidic oxides,asit oksitler
acidic rocks,asitli kayalar
acidic,asitli
acidifiable,asitlenebilir
acidification,asitleme
acidifier,asitleyici
acidify,asitlemek
acidimeter,asitölçer
acidimetry,asitölçüm
acidity,asidite
acidosis,asidoz
acidulate,asitlemek
acidulous,mayhoş
aciform,iğnemsi
ack-ack,uçaksavar ateşi
acknowledge,kabul etmek
acknowledged,tanınan
acknowledgment,onay
aclinic,aklinik
acme,doruk
acne,sivilce
aconite,itboğan
aconitine,akonitin
acorn,pelit kozası
acoustic nerve,akustik sinir
acoustic power,akustik güç
acoustic shadow,akustik gölge
acoustic,akustik
acoustical,akustik
acoustics,akustik
acquaint oneself with,öğrenmek
acquaint,(~ with) bilgi vermek
acquaintance,tanıdık
acquaintanceship,tanışıklık
acquiesce,kabullenmek
acquiescence,kabullenme
acquiescently,uysallıkla
acquire,kazanmak
acquired characteristics,sonradan kazanılan özellikler
acquired immunity,kazanılmış bağışıklık
acquired right,müktesep hak
acquired taste,zamanla sevilen şey
acquired,kazanılmış
acquirement,kazanç
acquisition,kazanç
acquisitive,açgözlü
acquit oneself,görevini yapmak
acquit,beraat ettirmek
acquittal,beraat
acquittance,zimmetten kurtulma
acre,(arazi ölçüsü) dönüm
acreage,arazi alanı
acrid,acı
acridine dye,akridin boyası
acridine,akridin
acriflavine,akriflavin
acrimonious,acı
acrimony,acılık
acrobat,akrobat
acrobatic,akrobatik
acrobatics,cambazlık
acrolein,akrolein
acromion,akromyon
acronym,sözcüklerin baş harflerinden oluşan sözcük
acropolis,akropol
across the board,hamı için aynı derecede
across,karşıdan karşıya
acrostic,akrostiş
acrylic acid,akrilik asit
acrylic ester,akrilik ester
acrylic plastic,akrilik plastik
acrylic resin,akrilik reçine
acrylic,akrilik
acrylonitrile,akrilonitril
act as,görevi görmek
act by a majority,çoğunlukla karar almak
act of bankruptcy,iflas işlemi
act of god,zorlayıcı sebep
act of grace,genel af
act of war,askeri eylem
act out,davranışlarla göstermek
act up,kötü davranmak
act,hareket etmek, iş, davranış, kanun, yasa, perde, sahne, numara, rol, ayak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actant,eyleyen
actantial,eyleyensel
actin,aktin
acting,yerine bakan
actinic balance,aktinik denge
actinic rays,aktinik ışınlar
actinic spectrum,aktinik tayf
actinic,aktinik
actinide series,aktinit serisi
actinide,aktinit
actinism,aktinizm
actinium series,aktinyum dizisi
actinium,aktinyum
actinolite,aktinolit
actinometer,aktinometre
actinometric,aktinometrik
actinometrical,aktinometrik
actinometry,aktinometri
actinomorphic,aktinomorfik
actinon,aktinon
action committee,faaliyet komitesi
action for annulment,fesih davası
action for damages,tazminat davası
action in ejectment,tahliye davası
action,hareket, olaylar dizisi, askeri harekât, savaş, dava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actionable,dava edilebilir
actionless,hareketsiz
activate,harekete geçirmek
activated carbon,aktif kömür
activated,aktif
activation energy,aktivasyon enerjisi
activation,canlandırma
activator,aktivatör
active electrode,aktif elektrot
active immunity,aktif bağışıklık
active manager,aktif yönetici
active natural immunity,aktif doğal bağışıklık
active officer,muvazzaf subay
active transport,aktif taşıma
active verb,etken eylem
active voice,etken çatı
active volcano,aktif durumda olan yanardağ
active,aktif
activism,aktivizm
activist,aktivist
activity report,faaliyet raporu
activity,hareket
actor,erkek oyuncu
actress,kadın oyuncu
acts of God,doğal afetler
actual cost,gerçek maliyet
actual inventory,hazır mevcut
actual,gerçek
actuality,hakikat
actualization,edimselleşme
actualize,gerçekleştirmek
actualizer,gerçekleştirici
actually,gerçekten
actuary,sigorta/hesap uzmanı
actuate,harekete geçirmek
actuating,tahrik
actuator,harekete getirici
acuity of vision,görüş keskinliği
acuity,keskinlik
aculeate,sivri
acumen,çabuk kavrayış
acuminate,sivrileşen
acupuncture,akupunktur
acute angle,dar açı
acute hearing,çok iyi işitme
acute mind,keskin zekâ
acute pain,şiddetli ağrı
acute sound,tiz ses
acute triangle,dar üçgen
acute,(duyum ve düşünce) keskin
acutely,zekâ ile
acuteness,zekâ
acyclic,asiklik
acyl,açil
acylation,açilleme
ad infinitum,sonu olmayarak
ad interim,geçici
ad libitum,istenildiği kadar
AD,MS
ad-lib,kafadan uyduruvermek
adage,özdeyiş
adagio,adacio
Adam,Adem
Adams apple,gırtlak çıkıntısı
adamant,dik başlı
adamantine,elmas gibi
adamantly,inatla
adapt oneself to,özünü alıştırmak
adapt,uyarlamak
adaptability to environment,çevreye uyum
adaptability,uyum yeteneği
adaptable,kolayca uyum sağlayan
adaptation,uyarlama
adapter,adaptör
adaptive,uyarlanabilir
adaptor,uyarlayıcı
adastra,yıldızlara
add fuel to the fire,yangına körükle gitmek
add up,toplamını bulmak
add wings to,hızlandırmak
add,eklemek
add-on,eklenen
addend,toplanan
addendum,(konuşma/kitap sonunda) ek
adder,engerek
adders tongue,yılan dili
adderwort,kurtpençesi
addict oneself,düşkün olmak
addict,müptela
addiction,alışkanlık
addictive,alışkanlık oluşturan
adding machine,hesap kılgası
adding,ekleme
Addisons disease,Adison hastalığı
addition agent,katkı maddesi
addition compound,katılma bileşiği
addition sign,toplama işareti
addition,ekleme
additional building,ek bina
additional charge,ek vergin
additional expenses,ek masraflar
additional load,ek yük
additional protocol,katma protokol
additional,ek
additive process,katılma işlemi
additive,katkı
addle,bozmak
addlebrained,ahmak
addled egg,cılk yumurta
addled,sersem
address,adres yazmak
addressability,adreslenebilirlik
addressable,adreslenebilir
addressee,(kendisine mektup/vb.) gönderilen kişi
addresser,hitap eden kimse
addressing,adresleme
addressograph,adres makinesi
adduce,örnek vermek
adduct,yaklaştırmak
adductor,yaklaştırıcı kas
Aden,Aden körfezi
adenine,adenin
adenoid,lenf bezi
adenoma,adenoma
adenosine,adenozin
adept,yakşı tanıyan,koçak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adequacy,yeterlilik
adequate,yeterli
adequately,layıkıyla
adequateness,yeterlilik
adharma,günahkârlık
adhere to,-e yapışmak
adhere,yapışmak
adherence,bağlılık
adherent,taraftar
adhesion force,yapışma gücü
adhesion,yapıştırma
adhesive plaster,plaster
adhesive tape,yapışkan bant
adhesive,yapıştırıcı
adhesiveness,yapıştırıcılık
adhibit,koymak
adiabatic change,adiyabatik değişim
adiabatic chart,adiyabatik grafik
adiabatic compression,adiyabatik sıkıştırma
adiabatic curve,adiyabatik eğri
adiabatic equation,adiyabatik denklem
adiabatic expansion,adiyabatik genleşme
adiabatic lapse rate,adiyabatik gecikme oranı
adiabatic process,adiyabatik işlem
adiabatic,adiyabatik
adiathermic,sıcaklık ışınlarını geçirmeyen
adieu,allahaısmarladık
adios,Allaha ısmarladık!
adipic acid,adipik asit
adipic,adipik
adipose tissue,yağdoku
adipose,yağlı
adit,maden galerisi
adjacency,bitişiklik
adjacent,çok yakın
adjectival construction,sıfat tamlaması
adjectival,sıfat cinsinden
adjective law,şekli hukuk
adjective,sıfat
adjoin,bitişik olmak
adjoining,bitişik
adjourn sine die,süresiz olarak ertelemek
adjourn the meeting,oturumu ertelemek
adjourn,ertelemek
adjournment,ertelenme
adjudge,hüküm vermek
adjudicate,karar vermek
adjudication in bankruptcy,iflas kararı
adjudication,hüküm verme
adjudicator,hakem
adjunct,ilave
adjuration,yemin
adjure,yalvarıp yakarmak
adjust a difference,anlaşmazlığı halletmek
adjust,ayarlamak
adjustable,ayarlı
adjuster,ayarlayıcı
adjusting button,ayar düğmesi
adjusting wrench,ayar anahtarı
adjusting,ayar
adjustment knob,ayar butonu
adjustment screw,ayar vidası
adjustment,ayar
adjutant general,zat işlerine bakan general
adjutant,yardımcı
adjuvant,yardım eden
adlibitum,istenildiği kadar
adman,reklamcı
admeasure,ölçmek
administer,idare etmek
administration,idare
administrative action,idari karar
administrative board member,yönetim kurulu üyesi
administrative board,yönetim kurulu
administrative body,yönetim kurulu
administrative case,idari dava
administrative law,idare hukuku
administrative policy,yönetim politikası
administrative,yönetsel
administrator,idareci
admirable,takdire değer
admiral,amiral
Admiralty,Amirallik Dairesi
admiration,takdir
admire,takdir etmek
admirer,hayran
admiring,hayran
admissibility,kabul olunabilme
admissible,akla uygun
admission fee,giriş vergini
admission free,duhuliyesiz
admission ticket,giriş bileti
admission,itiraf
admit of,imkân vermek
admit,içeriye almak
admittance,giriş izni
admittedly,herkesin kabul edeceği gibi
admix,karışmak
admixture,karıştırma
admonish,uyarmak
admonition,uyarı
admonitory,uyarı niteliğinde
ado,gürültü
adobe,kerpiç
adolescence,ergenlik
adolescent,ergen
adopt,(başkasının uşağını) evlat edinmek
adopted child,evlatlık
adoption,evlat edinme
adoptive,evlatlık edinen
adorable,çok güzel
adoration,aşırı sevgi
adore,tapmak
adorn,süslemek
adornment,süs
adrenal cortex,böbreküstü bezi korteksi
adrenal gland,böbreküstü bezi
adrenal,böbreküstü beziyle ilgili
adrenalin,adrenalin
adrenaline,adrenalin
adressee,alıcı
Adrianople,Edirne
Adriatic,Adriya Denizi
adrift,akıntı ve rüzgârla sürüklenmiş
adroit,eli çabuk
adroitly,hünerle
adroitness,hüner
adscititious,ilave edilen
adsorb,yüze çekmek
adsorbate,adsorbat
adsorbed,adsorbe edilmiş
adsorbent,adsorban
adsorption,yüze tutma
adsorptive,emici
adulate,aşırı derecede övmek
adulation,aşırı övgü
adulatory,yaltaklanma mahiyetinde
adult education,yetişkin eğitimi
adult,yetişkin
adulterate,değerini düşürmek
adulteration,karıştırma
adulterer,zina yapan erkek
adulteress,zina yapan kadın
adulterine,gayrimeşru (çocuk)
adulterous,zina yapan
adultery,zina
adulthood,yetişkinlik
adumbrate,ima etmek
adumbration,ima
adust,yanmış
advance guard,öncü kuvvet
advance on salary,avans
advance,ilerlemek
advanced,ilerlemiş
advancement,yükselme
advances,yaranma
advancing,ilerleyen
advantage,avantaj
advantageous,yararlı
advection,adveksiyon
advective,advektif
advent,varış
adventitious root,adventif kök
adventitious,arızi
adventive,adventif
adventure,serüven
adventurer,maceraperest kimse
adventuresome,cesur
adventurous,serüven seven
adverb of place,yer belirteci
adverb of quality,niteleme belirteci
adverb of time,zaman belirteci
adverb,zarf
adverbial,zarfa ait
adversary,düşman
adversative,muhalefet belirten
adverse,ters
adversely,karşıt olarak
adverseness,terslik
adversity,güçlük
advert to,-den bahsetmek
advert,reklam
advertise for,ilanla aramak
advertise,bildirmek
advertisement,reklam
advertising agency,reklam ajansı
advertising agent,reklam ajansı
advertising campaign,reklam kampanyası
advertising department,reklam bölümü
advertising,reklamcılık
advice centre,danışma merkezi
advice,tavsiye
advisable,makul
advisableness,uygunluk
advise,tavsiye etmek
advisedly,akıllıca
advisement,danışma
adviser,danışman
advisor,yol gösteren
advisory board,danışma kurulu
advisory committee,danışma kurulu
advisory council,danışma konseyi
advisory,öğüt veren
advocacy,yan tutma
advocate,savunmak
adynamia,kuvvetsizlik
adytum,tapınak iç odası
adz(e),keser
adze,keser
aedile,eski Romada bayındırlık memuru
Aegean Continental Shelf,Ege Kıta Sahanlığı
Aegean Sea,Ege Denizi
Aegean,Ege
aegis,kalkan
aeolian deposit,rüzgâr yığıntısı
aeolian erosion,rüzgâr erozyonu
aeolian soil,rüzgâr yığıntısı toprak
aeolian,rüzgâr nedeniyle oluşan
aeolotropic,anizotrop
aeolotropy,anizotropi
aeon,ölçülemeyecek kadar uzun zaman
aerate,havalandırmak
aerating,havalandırma
aeration,havalandırma
aerator,havalandırıcı
aerial line,tenek hattı
aerial railway,teleferik
aerial root,havai kök
aerial ropeway,teleferik
aerial stem,havai gövde
aerial,anten
aerie,yükseklerdeki kuş yuvası
aeriform,gaz halinde
aerify,içine tenek karıştırmak
